input,target
"Simplify the phrase ""complex"" in the sentence: sentence",simple
"Simplify the phrase ""as in"" in the sentence: Plea, that, at the time of the said supposed trespass, the plaintiff was in a certain close of the Earl of Eglintoun, and that the defendant, as the servant of Lord Eglintoun, and by his command, gently laid his hands upon the plaintiff, in order to remove him from the said close, using no unnecessary violence in so doing, which is the same supposed trespass in the declaration mentioned, etc.",meaning
"Simplify the phrase ""as in"" in the sentence: Replication, that, at the time of the said removal, the plaintiff was in the said close by the leave and license of Lord Eglintoun.",meaning
"Simplify the phrase ""out of"" in the sentence: The plaintiff purchased one of these tickets, and came into the inclosure on one of the race days; and while the races were going on, the defendant, who was an officer of police, by the order of Lord Eglintoun, desired him to go out of the inclosure, in consequence of some alleged malpractices of his on a former occasion, connected with the turf, telling him that if he did not do so, force would be used to turn him out.",from
"Simplify the phrase ""on the ground of"" in the sentence: In Michaelmas Term, Jervis obtained a rule nisi for a new trial, on the ground of misdirection; contending, that, under the circumstances, the license to come into the inclosure during the races, given upon the purchase of the ticket, was not revocable during the races, or, at all events, not without returning the price of the ticket, and therefore that the plaintiff remained there, at the time of the trespass, by the leave and license of Lord Eglintoun.",because of
"Simplify the phrase ""as in"" in the sentence: The plea on which alone any question arose was, that at the time of the alleged trespass the plaintiff was in a certain close of Lord Eglintoun, and the defendant, as the servant of Lord Eglintoun, and by his command, laid his hands upon the plaintiff in order to remove him from the said close, using no unnecessary violence.",meaning
"Simplify the phrase ""as in"" in the sentence: Replication, that, at the time of such removal, the plaintiff was in the said close by the leave and license of Lord Eglintoun.",meaning
"Simplify the phrase ""as in"" in the sentence: In last Michaelmas term, Mr. Jervis obtained a rule nisi to set aside the verdict for misdirection, on the ground, that, under the circumstances, Lord Eglintoun must be taken to have given the plaintiff leave to come into and remain in the inclosure during the races; that such leave was not revocable, at all events without returning the guinea; and so that, as the time of the removal, the plaintiff was in the inclosure by the leave and license of Lord Eglintoun.",meaning
"Simplify the phrase ""in the case of"" in the sentence: And, for this purpose, we cannot do better than refer to Lord C. J. Vaughan's elaborate judgment in the case of Thomas v. Sorrell , as it appears in his Reports.",in
"Simplify the phrase ""as to"" in the sentence: The question there was as to the right of the Crown to dispense with certain statutes regulating the sale of wine, and to license the Vintners' Company to do certain acts notwithstanding those statutes.",about
"Simplify the phrase ""in the course of"" in the sentence: In the course of his judgment the Chief Justice says Vaughan, 351, ""A dispensation or license properly passeth no interest, nor alters or transfers property in anything, but only makes an action lawful, which without it had been unlawful.",while
"Simplify the phrase ""as to"" in the sentence: But a license to hunt in a man's park, and carry away the deer killed to his own use; to cut down a tree in a man's ground, and to carry it away the next day after to his own use, are licenses as to the acts of hunting and cutting down the tree, but as to the carrying away of the deer killed and tree cut down, they are grants.",about
"Simplify the phrase ""as to"" in the sentence: So, to license a man to eat my meat, or to fire the wood in my chimney to warm him by, as to the actions of eating, firing my wood, and warming him, they are licenses; but it is consequent necessarily to those actions that my property may be destroyed in the meat eaten, and in the wood burnt.",about
"Simplify the phrase ""as in"" in the sentence: So as in some cases, by consequent and not directly, and as its effect, a dispensation or license may destroy and alter property.""",meaning
"Simplify the phrase ""as to"" in the sentence: A mere license is revocable: but that which is called a license is often some845 thing more than a license; it often comprises or is connected with a grant, and then the party who has given it cannot in general revoke it, so as to defeat his grant, to which it was incident.",about
"Simplify the phrase ""as in"" in the sentence: A mere license is revocable: but that which is called a license is often some845 thing more than a license; it often comprises or is connected with a grant, and then the party who has given it cannot in general revoke it, so as to defeat his grant, to which it was incident.",meaning
"Simplify the phrase ""as in"" in the sentence: From the arguments, as given in Rolle, it appears that the plaintiff's counsel, who was first heard, contended, first, that the license, being a license for profit, and not merely for pleasure, and being also for a certain time only, namely, till he could sell his hay, was not revocable: and, secondly, even if the license was revocable, still that the lease to the defendant was an implied, and not an express revocation, and therefore was inoperative against him without notice?",meaning
"Simplify the phrase ""as in"" in the sentence: To this latter proposition the Court appears to have assented; but Dodderidge, J., suggested, that, even if the license was in force, still the licenser did not by such a license preclude himself, nor, consequently, his tenant, from turning cattle on the land, and that the licensee ought to have taken care to protect the hay from the cattle.",meaning
"Simplify the phrase ""as to"" in the sentence: As to this, however, the Chief Justice expressed a doubt.",about
"Simplify the phrase ""in respect of"" in the sentence: The defendant's counsel appears, from the report in Rolle, to speak of the plaintiff as grantee of the liberty to stack hay, etc.; a form of expression not very appropriate, if used in respect of a party who had a mere parol license; and the Chief Justice, according to the report in Popham and Palmer, says that the plaintiff had an interest which charged the land, into whose hands soever it should come.",about
"Simplify the phrase ""as in"" in the sentence: From these expressions, and there are others in the various reports of the case having a similar aspect, it certainly seems possible that the license was under seal; and then the only point would be that which alone was in fact decided, namely, whether, supposing the plaintiff to have acquired by grant a right to stack his hay on the land, for a limited time, that limited time had expired.",meaning
"Simplify the phrase ""in the case of"" in the sentence: But from a MS. report of the same case, referred to by Gibbs, C. J., in the case of Tayler v. Waters , and which MS.",in
"Simplify the phrase ""as to"" in the sentence: One of these tickets was sold by Gourgas to the plaintiff, in July; 1799, but no deed of assignment to him was executed.",about
"Simplify the phrase ""by virtue of"" in the sentence: The plaintiff, however, was allowed to attend the theatre, by virtue of his ticket, until the year 1814, when the defendant Waters, as servant of the trustees, prevented him from entering the theatre; and for this obstruction the action was brought.",because of
"Simplify the phrase ""as to"" in the sentence: The same case, he added, shewed that the interest was not such an interest in land as was required by the Statute of Frauds to be in writing; as to which last point all doubt, if there remained any, had he said been removed by the case of Wood v. Lake.",about
"Simplify the phrase ""in the case of"" in the sentence: Brooke, in his Abridgment, Dodderidge, in the case of Webb v. Paternoster, and Lord Ellenborough, in the case of Rex v. HorndonontheHill 4 M. Selw. 562, all state in the most distinct manner that every license is and must be in its nature revocable, so long as it is a mere license.",in
"Simplify the phrase ""in the case of"" in the sentence: With all deference to the high authority from which the judgment in Tayler v. Waters proceeded, we feel warranted in saying that it is to the last degree unsatisfactory; an observation which we have the less hesitation in making, in consequence of its soundness having obviously been doubted by the Court of King's Bench and Mr. Justice Bayley in the case of Hewlins v. Shippam .",in
"Simplify the phrase ""from time to time"" in the sentence: The conditions of the sale were, that the purchaser of the hay might leave it on the close until Ladyday, and might in the meantime come on to the close from time to time, as often as he should see fit, to remove it.",sometimes
"Simplify the phrase ""from time to time"" in the sentence: A verdict was found for the defendant, Erskine, J., telling the jury that the license to come from time to time to remove the hay was irrevocable.",sometimes
"Simplify the phrase ""as in"" in the sentence: Mr. Crowder moved to set aside this verdict, on the ground that the license was necessarily revocable, and was in fact revoked.",meaning
"Simplify the phrase ""in the case of"" in the sentence: The hay, by the sale, became the property of the defendant, and the license to remove it became, as in the case of the tree and the deer, put by C. J. Vaughan, irrevocable by the plaintiff; and the rule was properly refused.",in
"Simplify the phrase ""as in"" in the sentence: The hay, by the sale, became the property of the defendant, and the license to remove it became, as in the case of the tree and the deer, put by C. J. Vaughan, irrevocable by the plaintiff; and the rule was properly refused.",meaning
"Simplify the phrase ""out of"" in the sentence: It was taken for granted, that, if the Statute of Frauds did not apply, a parol license was sufficient, and the necessity of an instrument under seal, by reason of the interest in question being a right in nature of an easement, was by some inadvertence kept entirely out of sight; and for these reasons, even if there had been no conflicting decisions, we should have thought that case to be a very unsafe guide in leading us to a decision, on an occasion where we were called on to lose sight of the ancient landmarks of the common law.",from
"Simplify the phrase ""by reason of"" in the sentence: It was taken for granted, that, if the Statute of Frauds did not apply, a parol license was sufficient, and the necessity of an instrument under seal, by reason of the interest in question being a right in nature of an easement, was by some inadvertence kept entirely out of sight; and for these reasons, even if there had been no conflicting decisions, we should have thought that case to be a very unsafe guide in leading us to a decision, on an occasion where we were called on to lose sight of the ancient landmarks of the common law.",because
"Simplify the phrase ""by reason of"" in the sentence: It was suggested that, in the present case, a distinction might exist, by reason of the plaintiff's having paid a valuable consideration for the privilege of going on the stand.",because
"Simplify the phrase ""out of"" in the sentence: A contract for sale of timber growing upon the land has been determined to be out of the statute, 1 Ld.",from
"Simplify the phrase ""as to"" in the sentence: Had the plaintiff such an interest as to have maintained a clausum fregit.",about
"Simplify the phrase ""in the context of"" in the sentence: In the context of these appeals, although other points arose from time to time, it would be useful to set out the provisions which are of direct relevance in each individual appeal.",when
"Simplify the phrase ""from time to time"" in the sentence: In the context of these appeals, although other points arose from time to time, it would be useful to set out the provisions which are of direct relevance in each individual appeal.",sometimes
"Simplify the phrase ""as in"" in the sentence: He said that at the date of his arrest he was in regular employment as a security guard.",meaning
"Simplify the phrase ""as in"" in the sentence: The Crown was in possession of evidence to show that although it was true that the appellant had served in the armed forces, his serious head injury had not been sustained while he was in the course of his duties, but while he was on holiday, driving his own vehicle.",meaning
"Simplify the phrase ""in the course of"" in the sentence: The Crown was in possession of evidence to show that although it was true that the appellant had served in the armed forces, his serious head injury had not been sustained while he was in the course of his duties, but while he was on holiday, driving his own vehicle.",while
"Simplify the phrase ""by way of"" in the sentence: The case had been disposed of by way of an absolute discharge.",for
"Simplify the phrase ""for the purposes of"" in the sentence: For the purposes of s 1011f the question whether the defendant has given a ""false impression"" about himself, and whether there is evidence which may properly serve to correct such a false impression within s 1051a and b is factspecific.",for
"Simplify the phrase ""in the course of"" in the sentence: It was submitted that in these circumstances the appellant should be treated as having withdrawn or disassociated himself with any false assertion relating to the claim that he had sustained injury while in the course of his duties.",while
"Simplify the phrase ""for the purposes of"" in the sentence: A concession extracted in crossexamination that the defendant was not telling the truth in part of his examinationinchief will not normally amount to a withdrawal or disassociation from the original assertion for the purposes of s 1053.",for
"Simplify the phrase ""by way of"" in the sentence: The case was disposed of by way of an absolute discharge.",for
"Simplify the phrase ""for the purposes of"" in the sentence: An absolute discharge following a finding that the defendant was unfit to plead did not constitute a criminal conviction, nor did it constitute ""reprehensible behaviour"" amounting to misconduct for the purposes of the ""bad character"" provisions in Part II of the Criminal Justice Act 2003.",for
"Simplify the phrase ""as a matter of"" in the sentence: We also accept that as a matter of ordinary language, the word ""reprehensible"" carries with it some element of culpability or blameworthiness.",about
"Simplify the phrase ""as to"" in the sentence: What however we are unable to accept is the mere fact that the appellant was found unfit to plead some 18 months after an apparent incident of gratuitous violence has occurred, of itself, connotes that at the time of the offence his mental acuity was so altered as to extinguish any element of culpability when the table leg was used in such a violent fashion.",about
"Simplify the phrase ""as in"" in the sentence: He also explained that its relevance in this particular case was confined to helping the jury decide whether the appellant had tried to present himself as a ""rather better man"" than he actually was, and whether he was in truth, as the jury might consider he was seeking to convey, deserving of sympathy.",meaning
"Simplify the phrase ""for the purposes of"" in the sentence: Accordingly she sought the discharge of the jury on the basis that the evidence before it was ""contaminated"" for the purposes of s 107.",for
"Simplify the phrase ""in the course of"" in the sentence: In the course of this foreplay the complainant fell over and hurt her knee.",while
"Simplify the phrase ""in the course of"" in the sentence: However, the judge was troubled by the attack made against the complainant by the defendant in the course of the police interviews.",while
"Simplify the phrase ""for the purposes of"" in the sentence: Accordingly an attack had been made on the complainant's character for the purposes of s 1011g, as explained and expanded in s 106, and in particular s 1061c.",for
"Simplify the phrase ""for the purposes of"" in the sentence: If what he said was relevant and served to support the allegation of rape, this evidence was admissible, and for the purposes of s 1061c was indeed ""given"".",for
"Simplify the phrase ""as in"" in the sentence: If what he said was relevant and served to support the allegation of rape, this evidence was admissible, and for the purposes of s 1061c was indeed ""given"".",meaning
"Simplify the phrase ""as in"" in the sentence: The Crown also contended that the remark about rape attributed to him by the complainant was inconsistent with a genuine belief that she was consenting to what happened.",meaning
"Simplify the phrase ""as a matter of"" in the sentence: Once the evidence was properly given, within s 1061c the judge would have been entitled to exclude it as a matter of discretion.",about
"Simplify the phrase ""as in"" in the sentence: The evidence of ""bad blood"" between the complainant and the appellant was introduced by the appellant, after permission had been sought and given for it to be raised.",meaning
"Simplify the phrase ""as in"" in the sentence: Sentence The appeal against sentence focuses exclusively on the length of the custodial term, which Mr Goldstein accepts was inevitable.",meaning
"Simplify the phrase ""in the context of"" in the sentence: In brief, to be admissible, such evidence was required to be important explanatory evidence, or evidence with a substantial probative value in the context of the case as a whole.",when
"Simplify the phrase ""in relation to"" in the sentence: Without knowing of Welsh's character, the jury would have been deprived of important evidence of substantial probative value in relation to the issue of the credibility of Welsh's evidence on the vital question whether Mr Cleverley had fabricated his complaint, or whether in truth he was rightly to be regarded as a victim.",about
"Simplify the phrase ""as a result of"" in the sentence: The case for the Crown was that as a result of a telephone call from Shabaz indicating that he could now collect 100 he was owed, Tarab was tricked into going into the taxi office.",because
"Simplify the phrase ""in the case of"" in the sentence: This leads to the second general aspect of the evidence, arising in the case of Ajaz.",in
"Simplify the phrase ""as to"" in the sentence: As to witnesses, he was not accepting the evidence of any prosecution witness which implicated him ""as being responsible for any criminal offence"".",about
